idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
3045,1400810,2024,https://www.sec.gov/Archives/edgar/data/1400810/000095017025029999/hci-20241231.htm,https://www.sec.gov/Archives/edgar/data/1400810/000095017024056839/hci-20240331.htm,https://www.sec.gov/Archives/edgar/data/1400810/000095017024094718/hci-20240630.htm,https://www.sec.gov/Archives/edgar/data/1400810/000095017024124033/hci-20240930.htm,
4321,1501585,2024,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000006/hii-20241231.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000013/hii-20240331.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000036/hii-20240630.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000042/hii-20240930.htm,
82,7623,2024,https://www.sec.gov/Archives/edgar/data/7623/000143774925004172/artw20241130_10k.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774924011724/artw20240318_10q.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774924022557/artw20240531_10q.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774924031031/artw20240731_10q.htm,
257,1093557,2024,https://www.sec.gov/Archives/edgar/data/1093557/000109355725000036/dxcm-20241231.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355724000079/dxcm-20240331.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355724000144/dxcm-20240630.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355724000180/dxcm-20240930.htm,
1982,850209,2024,https://www.sec.gov/Archives/edgar/data/850209/000143774924009866/floc20240203_10k.htm,,https://www.sec.gov/Archives/edgar/data/850209/000143774924020080/floc20240421_10q.htm,https://www.sec.gov/Archives/edgar/data/850209/000143774924028967/floc20240803_10q.htm,https://www.sec.gov/Archives/edgar/data/850209/000143774924037241/floc20241102_10q.htm
1514,1267565,2024,https://www.sec.gov/Archives/edgar/data/1267565/000155837025001801/coll-20241231x10k.htm,https://www.sec.gov/Archives/edgar/data/1267565/000155837024007601/coll-20240331x10q.htm,https://www.sec.gov/Archives/edgar/data/1267565/000155837024011586/coll-20240630x10q.htm,https://www.sec.gov/Archives/edgar/data/1267565/000155837024014858/coll-20240930x10q.htm,
4124,1311370,2024,https://www.sec.gov/Archives/edgar/data/1311370/000162828025007441/laz-20241231.htm,https://www.sec.gov/Archives/edgar/data/1311370/000162828024018661/laz-20240331.htm,https://www.sec.gov/Archives/edgar/data/1311370/000162828024033170/laz-20240630.htm,https://www.sec.gov/Archives/edgar/data/1311370/000162828024044770/laz-20240930.htm,
818,1083301,2024,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000018/wulf-20241231.htm,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000103/wulf-20240331.htm,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000124/wulf-20240630.htm,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000147/wulf-20240930.htm,
1632,1802974,2024,https://www.sec.gov/Archives/edgar/data/1802974/000180297424000053/avo-20241031.htm,https://www.sec.gov/Archives/edgar/data/1802974/000180297424000018/avo-20240131.htm,https://www.sec.gov/Archives/edgar/data/1802974/000180297424000028/avo-20240430.htm,https://www.sec.gov/Archives/edgar/data/1802974/000180297424000039/avo-20240731.htm,
3872,1852016,2024,https://www.sec.gov/Archives/edgar/data/1852016/000119312525066878/d931973d10k.htm,https://www.sec.gov/Archives/edgar/data/1852016/000119312524139161/d816563d10q.htm,https://www.sec.gov/Archives/edgar/data/1852016/000119312524199474/d827331d10q.htm,https://www.sec.gov/Archives/edgar/data/1852016/000119312524257616/d845392d10q.htm,
